"locality","divorces_sum","year"
"עפולה",102,2022
"אילת",101,2018
"הוד השרון",101,2022
"עפולה",101,2021
"קריית אתא",101,2022
"רמלה",101,2018
"אילת",100,2022
"נהרייה",100,2015
"קריית אתא",100,2017
"קריית אתא",100,2018
"רמלה",100,2023
"אילת",99,2016
"אילת",99,2019
"אילת",99,2021
"הוד השרון",99,2020
"רמלה",99,2020
"רמת השרון",99,2016
"הוד השרון",98,2015
"הוד השרון",98,2016
"נהרייה",98,2023
"בית שמש",97,2015
"אילת",96,2017
"נס ציונה",96,2018
"נהרייה",95,2022
"קריית אתא",95,2023
"גבעתיים",94,2017
"הוד השרון",94,2017
"טבריה",94,2019
"אילת",92,2023
"גבעתיים",92,2016
"טבריה",92,2015
"טבריה",92,2018
"נהרייה",92,2019
"קריית גת",92,2022
"קריית גת",92,2023
"יבנה",91,2017
"עכו",91,2016
"טבריה",90,2021
"לוד",90,2018
"לוד",89,2021
"נתיבות",89,2023
"פרדס חנה-כרכור",89,2020
"רמלה",89,2017
"גבעתיים",88,2021
"דימונה",88,2020
"יבנה",88,2015
"לוד",88,2020
"לוד",88,2022
"ראש העין",88,2015
"ראש העין",88,2017
"יבנה",87,2016
"רמלה",87,2016
"עפולה",86,2016
"עפולה",86,2018
"רמלה",86,2021
"טבריה",85,2017
"נס ציונה",85,2016
"קריית גת",85,2018
"גבעתיים",84,2018
"גבעתיים",84,2020
"נס ציונה",84,2015
"נס ציונה",84,2023
"קריית אתא",84,2020
"רמת השרון",84,2019
"נס ציונה",83,2021
"חריש",82,2023
"טבריה",82,2022
"לוד",82,2019
"עפולה",82,2019
"פרדס חנה-כרכור",82,2018
"צפת",82,2017
"צפת",82,2020
"קריית ביאליק",82,2017
"קריית גת",82,2016
"רמת השרון",82,2023
"נתיבות",81,2022
"פרדס חנה-כרכור",81,2023
"קריית גת",81,2015
"טבריה",80,2016
"כפר יונה",80,2023
"קריית אונו",80,2019
"קריית גת",80,2017
"גבעתיים",79,2019
"דימונה",79,2021
"טבריה",79,2020
"נהרייה",79,2020
"נס ציונה",79,2022
"פרדס חנה-כרכור",79,2019
"קריית מוצקין",79,2021
"קריית מוצקין",79,2022
"יבנה",78,2021
"נס ציונה",78,2020
"גבעתיים",77,2022
"דימונה",77,2022
"טבריה",77,2023
"לוד",77,2023
"מעלה אדומים",77,2021
"קריית אונו",77,2016
"קריית ביאליק",77,2021
"קריית ביאליק",77,2023
"קריית מוצקין",77,2020
"דימונה",76,2018
"לוד",76,2017
"מעלה אדומים",76,2018
"אור יהודה",75,2020
"לוד",75,2015
"רמת השרון",75,2015
"דימונה",74,2023
"קריית ביאליק",74,2018
"פרדס חנה-כרכור",73,2022
"רמת השרון",73,2022
"מעלה אדומים",72,2020
"עפולה",72,2017
"צפת",72,2016
"צפת",72,2023
"ביתר עילית",71,2022
"לוד",71,2016
"פרדס חנה-כרכור",71,2021
"קריית אונו",71,2017
"קריית ביאליק",71,2016
"רמת השרון",71,2018
"רמת השרון",71,2021
"צפת",70,2015
"צפת",70,2021
"קריית אונו",70,2023
"קריית מוצקין",70,2016
"אור יהודה",69,2018
"חריש",69,2022
"עפולה",69,2015
"קריית ביאליק",69,2015
"רמת השרון",69,2020
"גבעתיים",68,2023
"עכו",68,2015
"צפת",68,2018
"קריית אונו",68,2015
"קריית מוצקין",68,2015
"אור יהודה",67,2016
"אור יהודה",67,2017
"מעלה אדומים",67,2015
"קריית מוצקין",67,2018
"קריית מוצקין",67,2019
"רמת השרון",67,2017
"אור יהודה",66,2023
"כרמיאל",66,2018
"מעלה אדומים",66,2023
"עכו",66,2020
"צפת",66,2022
"קריית אונו",66,2020
"קריית ים",66,2016
"אופקים",65,2022
"גבעתיים",65,2015
"כרמיאל",65,2022
"פרדס חנה-כרכור",65,2015
"קריית מוצקין",65,2023
"אופקים",64,2023
"דימונה",64,2019
"עכו",64,2021
"קריית אונו",64,2018
"טירת כרמל",63,2023
"נתיבות",63,2020
"עכו",63,2018
"פרדס חנה-כרכור",63,2016
"אופקים",62,2020
"דימונה",62,2015
"כרמיאל",62,2015
"כרמיאל",62,2021
"נס ציונה",62,2017
"עכו",62,2017
"אור יהודה",61,2019
"כרמיאל",61,2017
"נתיבות",61,2021
"קריית אונו",61,2021
"אור יהודה",60,2015
"אור יהודה",60,2021
"גדרה",60,2022
"דימונה",60,2017
"כרמיאל",60,2023
"מעלה אדומים",60,2017
"קריית ביאליק",60,2019
"קריית מוצקין",60,2017
"דימונה",59,2016
"יהוד-מונוסון",59,2015
"יהוד-מונוסון",59,2016
"יהוד-מונוסון",59,2021
"כרמיאל",59,2019
"מודיעין עילית",59,2020
"מעלה אדומים",59,2019
"נתיבות",59,2019
"שדרות",59,2022
"אור יהודה",58,2022
"באר יעקב",58,2022
"טירת כרמל",58,2017
"כרמיאל",58,2016
"צפת",58,2019
"קריית ים",58,2015
"אלעד",57,2023
"ביתר עילית",57,2017
"גן יבנה",57,2019
"מבשרת ציון",57,2016
"פרדס חנה-כרכור",57,2017
"קריית ביאליק",57,2020
"באר יעקב",56,2021
"ביתר עילית",56,2023
"טירת כרמל",56,2018
"יהוד-מונוסון",56,2019
"מעלה אדומים",56,2016
"קריית ים",56,2019
"קריית מלאכי",56,2021
"גדרה",55,2018
"גדרה",55,2023
"מגדל העמק",55,2016
"עכו",55,2023
"אלעד",54,2018
"ביתר עילית",54,2021
"טירת כרמל",54,2022
"כפר יונה",54,2022
"מגדל העמק",54,2017
"קריית ים",54,2022
"קריית ים",54,2023
"יהוד-מונוסון",53,2018
"נתיבות",53,2017
"נתיבות",53,2018
"קריית ביאליק",53,2022
"באר יעקב",52,2019
"מודיעין עילית",52,2023
"קריית ים",52,2018
"כפר יונה",51,2019
"כפר יונה",51,2020
"קריית אונו",51,2022
"קריית ים",51,2020
"קריית ים",51,2021
"קריית מלאכי",51,2022
"שדרות",51,2020
"טירת כרמל",50,2019
"כפר יונה",50,2021
"מבשרת ציון",50,2021
"מגדל העמק",50,2021
"קריית ים",50,2017
"קריית שמונה",50,2015
"אופקים",49,2017
"אופקים",49,2021
"אלעד",49,2022
"באר יעקב",49,2023
"גן יבנה",49,2021
"יהוד-מונוסון",49,2022
"יהוד-מונוסון",49,2023
"מעלה אדומים",49,2022
"עכו",49,2019
"אופקים",48,2019
"אלעד",48,2015
"אלעד",48,2021
"באר יעקב",48,2020
"גבעת שמואל",48,2022
"גדרה",48,2020
"גדרה",48,2021
"יקנעם עילית",48,2021
"קריית מלאכי",48,2019
"גן יבנה",47,2022
"יקנעם עילית",47,2022
"כרמיאל",47,2020
"מודיעין עילית",47,2019
"שדרות",47,2017
"אור עקיבא",46,2020
"אלעד",46,2019
"ביתר עילית",46,2020
"גבעת שמואל",46,2020
"חריש",46,2021
"יקנעם עילית",46,2019
"מגדל העמק",46,2022
"זכרון יעקב",45,2016
"טירת כרמל",45,2020
"יהוד-מונוסון",45,2017
"יקנעם עילית",45,2018
"מבשרת ציון",45,2015
"מבשרת ציון",45,2019
"נתיבות",45,2016
"קדימה-צורן",45,2021
"שדרות",45,2021
"אופקים",44,2016
"אור עקיבא",44,2023
"באר יעקב",44,2018
"גדרה",44,2016
"זכרון יעקב",44,2022
"יקנעם עילית",44,2016
"קדימה-צורן",44,2020
"קריית מלאכי",44,2020
"שדרות",44,2016
"בית שאן",43,2017
"בית שאן",43,2018
"גבעת שמואל",43,2023
"גן יבנה",43,2015
"גני תקווה",43,2017
"טירת כרמל",43,2021
"מגדל העמק",43,2023
"מודיעין עילית",43,2021
"נשר",43,2021
"עכו",43,2022
"קדימה-צורן",43,2019
"קריית מלאכי",43,2017
"קריית שמונה",43,2016
"קריית שמונה",43,2018
"קריית שמונה",43,2020
"קריית שמונה",43,2021
"אופקים",42,2018
"אור עקיבא",42,2022
"אלעד",42,2020
"בית שאן",42,2021
"בית שאן",42,2023
"זכרון יעקב",42,2020
"כפר יונה",42,2015
"גבעת שמואל",41,2021
"גן יבנה",41,2020
"זכרון יעקב",41,2021
"חריש",41,2020
"יקנעם עילית",41,2017
"כפר יונה",41,2016
"כפר יונה",41,2018
"מבשרת ציון",41,2018
"מבשרת ציון",41,2023
"קריית שמונה",41,2019
"בית שאן",40,2022
"גני תקווה",40,2018
"גני תקווה",40,2020
"מבשרת ציון",40,2020
"מגדל העמק",40,2018
"נשר",40,2015
"נשר",40,2022
"נתיבות",40,2015
"קדימה-צורן",40,2016
"קריית מלאכי",40,2015
"שדרות",40,2018
"שדרות",40,2023
"ביתר עילית",39,2019
"גן יבנה",39,2023
"זכרון יעקב",39,2018
"מגדל העמק",39,2019
"קדימה-צורן",39,2017
"קדימה-צורן",39,2018
"קריית מלאכי",39,2023
"קריית שמונה",39,2017
"שוהם",39,2015
"אופקים",38,2015
"באר יעקב",38,2017
"בית שאן",38,2020
"גבעת שמואל",38,2017
"גן יבנה",38,2016
"גן יבנה",38,2017
"גני תקווה",38,2022
"זכרון יעקב",38,2019
"טירת כרמל",38,2016
"מבשרת ציון",38,2022
"מגדל העמק",38,2020
"מזכרת בתיה",38,2015
"שדרות",38,2015
"שוהם",38,2023
"אור עקיבא",37,2021
"אזור",37,2019
"אלעד",37,2016
"באר יעקב",37,2016
"ביתר עילית",37,2015
"גבעת זאב",37,2018
"גני תקווה",37,2023
"מבשרת ציון",37,2017
"מודיעין עילית",37,2017
"קדימה-צורן",37,2022
"שוהם",37,2019
"ביתר עילית",36,2016
"גבעת זאב",36,2023
"גדרה",36,2019
"מודיעין עילית",36,2016
"נוף הגליל",36,2015
"נשר",36,2016
"ערד",36,2020
"קדימה-צורן",36,2015
"קריית שמונה",36,2022
"שדרות",36,2019
"אור עקיבא",35,2017
"אלעד",35,2017
"בנימינה-גבעת עדה",35,2021
"גבעת זאב",35,2021
"גן יבנה",35,2018
"זכרון יעקב",35,2023
"יקנעם עילית",35,2023
"מודיעין עילית",35,2018
"נשר",35,2018
"קדימה-צורן",35,2023
"קריית מלאכי",35,2016
"קריית מלאכי",35,2018
